id,set_id,worker_id,description,first,second,third,first_addr,second_addr,third_addr
53,28,9,Which social media platforms are the most helpful for everyday life?,110,109,114,https://s3.amazonaws.com/popop-uploads/23d8dfe384d74f2c819966e3e0531a70.png,https://s3.amazonaws.com/popop-uploads/ace76a63623f48c0b3531f61c30f685b.png,https://s3.amazonaws.com/popop-uploads/1e70a81ae63846708f837294df75a1e5.png
54,12,9,best casual outfit for a date,50,52,53,https://s3.amazonaws.com/popop-uploads/5820bcd196fa4d4d8005c38ed6bc7b43.jpeg,https://s3.amazonaws.com/popop-uploads/206e714a350944388e05bd414a0f829e.jpeg,https://s3.amazonaws.com/popop-uploads/e557213b1afe4838be06e20b82fe56d4.jpeg
55,23,10,Which is the hottest pic of our hottest prez?,87,88,89,https://s3.amazonaws.com/popop-uploads/ab23e330b79c437eb4eec05b6fe2056f.jpeg,https://s3.amazonaws.com/popop-uploads/cc6466cb42af4b4e8463e515bf1cf50d.jpeg,https://s3.amazonaws.com/popop-uploads/5f8d518cd1f4496ca26f6d2175a7254b.jpeg
56,36,4,accuracy,152,151,150,https://s3.amazonaws.com/popop-uploads/d148d74c0888422889af8f64b102a7f3.png,https://s3.amazonaws.com/popop-uploads/2368f574572948f78851d9bbac86b464.png,https://s3.amazonaws.com/popop-uploads/7abf41519e1e428fb2ca13f9e1535d0d.png
57,22,9,Which puppy is the cutest?,85,84,86,https://s3.amazonaws.com/popop-uploads/851d19b3f48e4a82b1dfc5060a11b384.jpeg,https://s3.amazonaws.com/popop-uploads/172d15eacb9c441697c26c8954e52967.jpeg,https://s3.amazonaws.com/popop-uploads/fbd1cae224524674b2741a87e31e563f.jpeg
58,31,9,sort by how beautiful you think the photo is,125,124,128,https://s3.amazonaws.com/popop-uploads/c55f3033d4a34d489dbdecfa2fb2b7a0.jpeg,https://s3.amazonaws.com/popop-uploads/e80dc51df7e84fe5860e5a0372ce3374.jpeg,https://s3.amazonaws.com/popop-uploads/87798c6d5fbd45a19148cd887f53392a.jpeg
59,28,10,Which social media platforms are the most helpful for everyday life?,109,112,106,https://s3.amazonaws.com/popop-uploads/ace76a63623f48c0b3531f61c30f685b.png,https://s3.amazonaws.com/popop-uploads/9b7d5566c86847aeaf8720021c7bb842.png,https://s3.amazonaws.com/popop-uploads/9cbb78076835447ab8fdac769787591c.png
60,28,9,Which social media platforms are the most helpful for everyday life?,110,111,113,https://s3.amazonaws.com/popop-uploads/23d8dfe384d74f2c819966e3e0531a70.png,https://s3.amazonaws.com/popop-uploads/25f1fc382b284e32bf8f3ee6cdef5dad.png,https://s3.amazonaws.com/popop-uploads/9c7363177beb4e62bf19d06e9fd0af47.png
61,10,10,Favorite college w/ heavy sports culture,42,43,41,https://s3.amazonaws.com/popop-uploads/8d8c48fdb3234278a4298012bf200301.png,https://s3.amazonaws.com/popop-uploads/d5f3234a5b5749f0a56617c43dc551d6.jpeg,https://s3.amazonaws.com/popop-uploads/4edd31419cb54e8795cce1e6588fb504.jpeg
62,26,4,Which Penn baseball cap is the coolest?,96,97,98,https://s3.amazonaws.com/popop-uploads/cf476297faf04212b06e7d229e538160.jpeg,https://s3.amazonaws.com/popop-uploads/b37fb1cbda3d4a54a99b3713cd569d69.jpeg,https://s3.amazonaws.com/popop-uploads/2c41cde52ddc43878f562a37f6f38d31.jpeg
63,3,9,Which pupper is cutest?,11,13,15,https://s3.amazonaws.com/popop-uploads/19300af62a25455aa1d35e2359c3b7ac.jpeg,https://s3.amazonaws.com/popop-uploads/2dd641adbb93451b8d4c243ef309fd3e.jpeg,https://s3.amazonaws.com/popop-uploads/93514351f6ff4f768b9bc56f04ed22d1.jpeg
